pr,Year,Month,Country
63.0777,1977,10,ARG
54.7459,1977,11,ARG
95.6614,1977,12,ARG
81.4222,1978,1,ARG
70.9088,1978,2,ARG
76.3609,1978,3,ARG
19.4898,1978,4,ARG
30.0901,1978,5,ARG
27.2573,1978,6,ARG
50.4919,1978,7,ARG
11.2211,1978,8,ARG
50.1903,1978,9,ARG
54.6872,1978,10,ARG
61.3113,1978,11,ARG
71.3226,1978,12,ARG
65.9982,1979,1,ARG
64.6055,1979,2,ARG
59.5803,1979,3,ARG
44.4367,1979,4,ARG
33.2179,1979,5,ARG
26.8686,1979,6,ARG
26.0733,1979,7,ARG
36.4091,1979,8,ARG
33.5257,1979,9,ARG
46.8552,1979,10,ARG
68.8307,1979,11,ARG
87.1504,1979,12,ARG
42.2165,1980,1,ARG
63.587,1980,2,ARG
73.0279,1980,3,ARG
84.4169,1980,4,ARG
52.932,1980,5,ARG
30.5745,1980,6,ARG
27.5886,1980,7,ARG
23.3273,1980,8,ARG
18.4005,1980,9,ARG
49.6521,1980,10,ARG
70.131,1980,11,ARG
55.6926,1980,12,ARG
108.395,1981,1,ARG
87.8081,1981,2,ARG
52.5298,1981,3,ARG
62.3675,1981,4,ARG
64.3259,1981,5,ARG
27.3364,1981,6,ARG
16.5715,1981,7,ARG
19.3305,1981,8,ARG
18.4142,1981,9,ARG
31.7314,1981,10,ARG
64.5548,1981,11,ARG
47.5579,1981,12,ARG
56.8547,1982,1,ARG
67.5806,1982,2,ARG
66.7572,1982,3,ARG
54.0495,1982,4,ARG
33.4483,1982,5,ARG
49.6235,1982,6,ARG
33.9468,1982,7,ARG
26.0673,1982,8,ARG
65.1098,1982,9,ARG
37.9238,1982,10,ARG
65.6362,1982,11,ARG
57.9997,1982,12,ARG
91.5101,1983,1,ARG
64.9779,1983,2,ARG
59.8064,1983,3,ARG
56.2593,1983,4,ARG
61.9076,1983,5,ARG
21.5892,1983,6,ARG
28.2912,1983,7,ARG
26.9482,1983,8,ARG
21.1195,1983,9,ARG
49.1053,1983,10,ARG
41.1268,1983,11,ARG
57.0229,1983,12,ARG
82.7008,1984,1,ARG
109.5,1984,2,ARG
99.2467,1984,3,ARG
37.9185,1984,4,ARG
43.9843,1984,5,ARG
32.7679,1984,6,ARG
28.3711,1984,7,ARG
